key,one,other
app_title,Zyris RAG,Zyris RAG
app_subtitle,AI Training Model,AI Training Model
config_title,Settings,Settings
config_model,Qwen Model,Qwen Models
config_training,Source of Truth,Sources of Truth
config_training_none,Local Project Only,Local Project Only
config_local_project_btn,Select Project Folder,Select Project Folder
config_local_project_active,Project: {},Projects: {}
config_locale_placeholder,Language,Languages
history_title,Conversations,Conversations
history_new,New Conversation,New Conversations
history_empty,No history available,No conversations found
history_welcome,Welcome to Zyris RAG,Welcome to Zyris RAG
time_now,Now,Now
action_clear,Clear all,Clear all
action_status_engine,Qwen Engine v1.0,Qwen Engine v1.0
action_status_online,ONLINE,ONLINE
input_placeholder,Which file do you want to analyze in ZyrisRAG?,Which file do you want to analyze in ZyrisRAG?
input_process,Process Request,Process Requests
input_send,Send,Send
input_line,Line,Lines
input_doc,DOC,DOC
input_img,IMG,IMG
input_code,Code,Code
input_deep_memory,Deep Memory Active,Deep Memory Active
input_shift_enter,Shift + Enter for new line,Shift + Enter for new line
message_user,User,Users
message_ai,Zyris RAG AI,Zyris RAG AI
message_thinking,Retrieving context...,Retrieving contexts...
message_retrieved,{} context retrieved,{} contexts retrieved
message_copy,Copy,Copy
message_share,Share,Share
suggestion_vlaeg,Explain VLAEG Protocol,Explain VLAEG Protocols
suggestion_arch,Improve Architecture,Improve Architectures
suggestion_meta,Analyze Metadata,Analyze Metadata
suggestion_help,How can I help with your infrastructure today?,How can I help with your infrastructure today?
suggestion_desc,Deep RAG analysis in real-time for system automation.,Deep RAG analysis in real-time for system automation.
