key,one,other
app_title,Vectora,Vectora
app_subtitle,Modelo de Treinamento em IA,Modelo de Treinamento em IA
config_title,Configurações,Configurações
config_model,Modelo Qwen,Modelos Qwen
config_training,Fonte da Verdade,Fontes da Verdade
config_training_none,Somente Projeto Local,Somente Projeto Local
config_local_project_btn,Selecionar Pasta do Projeto,Selecionar Pasta do Projeto
config_local_project_active,Projeto: {},Projetos: {}
config_locale_placeholder,Idioma,Idioma
history_title,Conversas,Conversas
history_new,Nova Conversa,Novas Conversas
history_empty,Nenhum histórico disponível,Nenhuma conversa encontrada
history_welcome,Bem-vindo ao Vectora,Bem-vindo ao Vectora
time_now,Agora,Agora
action_clear,Limpar tudo,Limpar tudo
action_status_engine,Qwen Engine v1.0,Qwen Engine v1.0
action_status_online,ONLINE,ONLINE
input_placeholder,Qual arquivo você quer analisar do Vectora?,Qual arquivo você quer analisar do Vectora?
input_process,Processar Pedido,Processar Pedidos
input_send,Enviar,Enviar
input_line,Linha,Linhas
input_doc,DOC,DOC
input_img,IMG,IMG
input_code,Código,Código
input_deep_memory,Memória Profunda Ativa,Memória Profunda Ativa
input_shift_enter,Shift + Enter para nova linha,Shift + Enter para nova linha
message_user,Usuário,Usuários
message_ai,IA de Vectora,IA de Vectora
message_thinking,Recuperando contexto...,Recuperando contextos...
message_retrieved,{} contexto recuperado,{} contextos recuperados
message_copy,Copiar,Copiar
message_share,Partilhar,Partilhar
suggestion_vlaeg,Explicar Protocolo VLAEG,Explicar Protocolos VLAEG
suggestion_arch,Melhorar Arquitetura,Melhorar Arquiteturas
suggestion_meta,Analisar Metadata,Analisar Metadados
suggestion_help,Como posso ajudar na sua infraestrutura hoje?,Como posso ajudar na sua infraestrutura hoje?
suggestion_desc,Análise profunda de RAG em tempo real para automações de sistema.,Análise profunda de RAG em tempo real para automações de sistema.
