key,one,other
app_title,Zyris RAG,Zyris RAG
app_subtitle,Modelo de Entrenamiento IA,Modelo de Entrenamiento IA
config_title,Configuración,Configuración
config_model,Modelo Qwen,Modelos Qwen
config_training,Fuente de Verdad,Fuentes de Verdad
config_training_none,Solo Proyecto Local,Solo Proyecto Local
config_local_project_btn,Seleccionar Carpeta del Proyecto,Seleccionar Carpeta del Proyecto
config_local_project_active,Proyecto: {},Proyectos: {}
config_locale_placeholder,Idioma,Idiomas
history_title,Conversaciones,Conversaciones
history_new,Nueva Conversación,Nuevas Conversación
history_empty,Sin historial disponible,Sin conversaciones encontradas
history_welcome,Bienvenido a Zyris RAG,Bienvenido a Zyris RAG
time_now,Ahora,Ahora
action_clear,Limpiar todo, Limpiar tudo
action_status_engine,Qwen Engine v1.0,Qwen Engine v1.0
action_status_online,ONLINE,ONLINE
input_placeholder,¿Qué archivo quieres analizar en Vectora?,¿Qué archivos quieres analizar en Vectora?
input_process,Procesar Pedido,Procesar Pedidos
input_send,Enviar,Enviar
input_line,Línea,Líneas
input_doc,DOC,DOC
input_img,IMG,IMG
input_code,Código,Código
input_deep_memory,Memoria Profunda Activa,Memoria Profunda Activa
input_shift_enter,Shift + Enter para nueva línea,Shift + Enter para nueva línea
message_user,Usuario,Usuarios
message_ai,IA de Zyris RAG,IA de Zyris RAG
message_thinking,Recuperando contexto...,Recuperando contextos...
message_retrieved,{} contexto recuperado,{} contextos recuperados
message_copy,Copiar,Copiar
message_share,Compartir,Compartir
suggestion_vlaeg,Explicar Protocolo VLAEG,Explicar Protocolos VLAEG
suggestion_arch,Mejorar Arquitectura,Melhorar Arquiteturas
suggestion_meta,Analizar Metadatos,Analizar Metadatos
suggestion_help,¿Cómo puedo ayudar con tu infraestructura hoy?,¿Cómo puedo ayudar con tu infraestructura hoy?
suggestion_desc,Análisis profundo de RAG en tiempo real para automatización de sistemas.,Análise profunda de RAG em tempo real para automação de sistema.
